Product,Consumer Complaint
Credit card,"On XXXX last year, I had requested for balance transfer {$1700.00} from XXXX CARDS ( Card Services ) to COMENITY -Total Rewards Visa Card as you will see at the attachment FCC XXXX ( XXXX ). But it does not go through until now. I did contact Customer Services at XXXX CARDS ( Card Services ), and they told me that they never receive any check with the amount {$1700.00} from COMENITY-Total Rewards Visa Card as attachments FCC 001 ( XXXX TO XXXX ) from XX/XX/XXXX to XX/XX/XXXX. I did contact Customer Services at COMENITY-Total Rewards Visa Card at XXXX, and talked to a lot of persons, such as : XXXX, she is Supervisor of Resolution Dept., and her ID # XXXX on XX/XX/XXXX at XXXX PM ( PST ). Next, XXXX, her ID # XXXX at Customer Care Dept. on XX/XX/XXXX at XXXX ( XXXX ). Last, XXXX, her ID # XXXX, she is the Account Manager on XX/XX/XXXX at XXXX ( XXXX ) .Both of them understood the problem, and they told me that they will ask Customer Care Team to dispute or stop the amount {$1700.00}, and credit back to my account plus {$17.00} for transaction fee, total amount should be credited back to my account is {$1700.00}. But this person, XXXX, who is XXXX Representative at Customer Care Team did not understand, or did not want to credit back to my account, he sent me a lot of letter, and tried to confuse me by linking to other amount as you will see at the attachment FCC 001 ( 5 ). I did not ask them to dispute or stop {$1700.00} to XXXX as attachment FCC 001 ( 6 ). The corrected remaining balance should be {$1500.00} after crediting {$1700.00} plus {$99.00} ( XXXX payments from XX/XX/XXXX to XX/XX/XXXX ). It is not {$3400.00} as attachment FCC 001 ( 7 ). I am very frustrated about this COMENITY-Total Rewards Visa Card. Please help to me solve this matter. 

Regards, XXXX"
Credit card,"previous Case number : XXXX I would like to re-address this complain because the law firm XXXX has tried the same con again this year after we discussed in details a year ago regarding my monthly payment for XXXX XXXX as according the settlement. When this was first address when they did not want to honor the settlement, then they said they would and tried create a situation where I defaulted on my payments intentionally which is false from the time of the settlement I honor the agreement and made all payments. I received a default letter from the Civil Court of XXXX on Friday XXXX XXXX, 2017 advising I would be in default if a payment was not received in 10 days. This was first and only contact I received from XXXX regarding my payment. I never received a letter stating I need to setup a new payment schedule prior to the letter from the court. I was advised their system can not setup payment for over 12 month no explains was given is this my fault? I wanted to setup monthly payment for the remaining settlement because XXXX have tried in the past to change the rules and the settlement in attempt to used scare tactic against me. This default letter is prime example of the tactic they use to not honor the settlement from the courts. I contact them on XXXX/XXXX/2017 explaining the situation and they did not want to address it, however I agree to setup new payments. When speaking to several of their representative they all did not see the settlement amount XXXX in their system and was not sure why and was also confused. They only see the original amount of the debit from discover. The amount owes as of date from the settlement is XXXX XXXX. On XXXX/XXXX/2017 I paid a payment over the phone electronically for XXXX XXXX confirmation number is XXXX, and setup payments for XXXX for the next 11 months which would finalized the settlement amount. However the representative told me to contact XXXX to check on this because they do not see the settlement amount it the system, but they have statement previously they would honor. I do not trust this company and they have many complaint filed against, and have lied and misinformation me on several occasions not sure why they are able to continue to operation as a legitimate organization. I am contact New York District attorney and filing a complaint with BBB and contact XXXX for misrepresentation and other issues on this matter. I tried my best to work with XXXX in a professional manner and I feel I have not received the same treatment something needs to be done to protect other from this kind of treatment. I am also consulting with New York lawyer to see what or in any thing be done to protect me and family from them I fear there will try and damage my family going forward."
Debt collection,"I have won a case against this collector in court, plus they send me a IRS form to file and still this creditor is reporting negative please remove from my report please"
Debt collection,"I received many letters of collection in the mail from XXXX XXXX XXXX / XXXX XXXX XXXX XXXX. I sent them a letter requesting them to validate the debt. Their reply letter did not contain any evidence that I am legally obligated to pay them anything or that they have a legal right to collect under the FDCPA. I sent them another letter telling them to immediately remove the collection trade line from my credit reports since they did not provide evidence that they owe the debt. They sent another letter saying that they "" reviewed '' their records and deny their records are innacurate."
Student loan,"I recently applied to discover student loans hardship program. In three separate occasions I have received an email back on informing me they could approve my l application because it was missing documentation. As I am unemployed I have to submit proof of eligibilty for unemployment. I have stated over the phone to various Customer Service reps at Discover that I do not collect unemployment as I am not eligible for it. I spent close to 45 mins on the phone with a member of the hardship program today, XXXX XXXX, telling them the same thing. What am I suppose to do now committed fraud to give them what they want. My cosigner has graciously agreed to pay them during the hardship period. They refuse to accept a signed letter from both her and myself stating such, but yet have asked her to submit the last three months of pay stubs and her most recent XXXX. From my understanding this hardship program will reduce the payments significantly over a 12 month period but they are making it difficult for those who need the program to get into it. My loan is set to be charged off at the end of this month. I have repeatedly told discover I can not afford to pay XXXX a month and need a lower payment. I get the strong feeling they are trying to push me towards a charge off and a possible lawsuit. I am not refusing to pay them I can not pay them XXXX. Rather than try to find alternatives that make sense, the Customer Service rep was going to transfer back to the charge off department, for them to harang me by telling me, I have pay XXXX by the end of the month if not my account is going to charge off. If I do n't have XXXX where am I going to get XXXX from. This hardship program would have saved me but I can not get into because they seem to think I am lying when I say I AM NOT ELIGIBLE FOR UNEMPLOYMENT. I can not keep waiting three months to come up with one payment. This has got to stop. How many ways can you say I can not afford this payment."
Credit reporting,"While deployed I attempted to make a larger than normal payment to a lender which resulted in my overpayment of what the lender was allowed to accept on a monthly basis. This resulted in my cancellation of recurring bank allotments to the lender under the impression that I had paid my account in full. The lender failed to notify me not only that I had over paid them but that they were charging me fees for the overpayment. This resulted in a 120 day delinquency being reported on my credit report. Once I returned from XXXX I received an email from an individual from the lending company that was assigned to identify the reasoning behind my large gap in payments after a previous perfect payment history. Once he informed me of what had occurred, I repaid the past due amount in full and the account was later closed"
Mortgage,"In XXXX XXXX, 2007 I filed bankruptcy and included XXXX mortgages with Sun Trust. But Sun Trust continues saying i 'm over XXXX days late on this mortgage for almost XXXX years. I am in the process of trying to get a new mortgage now and can not until this clears up. I have written them and spoken to them about removing this from my credit. they are illegally reporting this."
Credit reporting,"In 2007, I was a victim of identity theft. As a result, the IRS charged that I owed them a tax debt, which I disputed. Before we reached a resolution, the IRS reported the tax liens to the XXXX credit bureaus. After several years of disputing the debt with the IRS, and with the help of the IRS Advocacy group, the IRS conceded that I did not owe the debt and removed it from my file. However, they refused to remove it from my credit report, despite multiple calls and visits to the local offices reporting the debt. I 've been trying for years to get the bureaus to remove it, but because its the IRS, they do n't want to do it. I finally called the IRS Advocacy group again and they confirmed that they have no record of the debt because it was removed, since I proved it was n't my debt. They recommended that I get the FTC involved to force the IRS to remove the tax lien history from my credit profile. Currently, there are several tax liens that show "" paid/satisfied, '' but that implies that I owed the debt at one time and paid it off, neither of which is true. Because the debt was never mine, any and all record of the tax liens should be stricken from my credit profile. As result of having those liens reported, although showing "" satisfied, '' my credit scores are being severely affected and I 'm having to pay much higher interest rates and getting denied from necessary credit. I need your help in having all of the erroneous tax liens appearing on my credit report, both on the Federal and State level, to be removed once and for all."
Credit card,"I was a customer of XXXX since XXXX and my account became linked to Paypal credit in XXXX. I called a few time to have my APR lowered and was denied. During this time, my account was in good standing. Recently, I have been undergoing a financial hardship and reached out to all my credit card accounts and was immediately enrolled in hardship programs. Except Paypal credit, they have refused to work with me and only offered me assistance once I am 90 days past due in the meantime my account has incurred late fees and interests and they negatively reported me to the credit bureaus affecting my credit score and adversely affecting my home and auto insurance rates."
Mortgage,"My mother passed away in 2013, leaving her home to my family. I am not the executor of the estate so the company will not allow me to take over the mortgage. I do n't make enough money to pay it and I keep getting the run around. I make enough money to pay a mortgage. The account is in default now and I ca n't seem to get them to help me keep the house. I understand that I have a right to the house and the will gives me claim, but I ca n't get them to work with me."
Mortgage,"My mortgage provider, XXXX. My Loan Care ( www.myloancare.com ) reported me as delinquent in early XXXX, in violation of the rules which give me a grace period for the acquisition. I called and spoke to a representative who said I would not be reported to the credit agencies. While seeking a loan on XX/XX/2017 I was told that I was reported to the credit bureaus as delinquent. My urgently needed loan was rejected and I am unable to get My Loan Care to remove this delinquency. My loan number is Loan Number is XXXX"
Credit card,"I believe my credit card was used fraudulently. I do n't understand how the card was used since it did not leave the cardholder 's possession. The card company did not provide copies of every charge. Dates and times of many charges could not have been made by the card holder. XXXX or more copies of receipts clearly show a signature that is not of the card holder. I believe the pattern of charges are consistent with obvious fraud. At no time did the card company contact me and question or ask about the charges. The charges exceeded the indicated credit limit and the card company allowed them anyway by just raising the limit. No explanation as to why the charges valid have been given. The card company response is just "" ... determined that the transactions were valid ''. There has been no response with any substance to my letters or questions."
Credit reporting,"I assume my score dropped because of XXXX ( XXXX ) supposed recently opened accounts. The XXXX account was transferred to another company. It was simply a transfer, NOT a new account. In fact, that info is noted at the end of the account listing! 
Secondly, the XXXX account, listed as opened XX/XX/XXXX, was not initiated by me. I made an appointment for an estimate on a counter top purchase/installation which I declined due to cost. I have never used this account, did not request an account, and am asking XXXX to remove it and stipulate that it is "" my request. ''"
Debt collection,"Earlier last year an account popped up on my credit report that I did n't owe. When I tried disputing the account through the credit agencies, I got some letters back stating that I owed this money. For months I tried to fight it and could n't get anywhere so I hired a company a few months ago called XXXX XXXX XXXX to look into this debt for me. 

Back on XXXX XXXX of 2015 XXXX, who I will refer to as XXXX, sent the collection agency NCC Business Services my authorization to speak directly to them. A few weeks later XXXX. tried calling NCC so they could discuss the account and NCC kept giving them the run around about how they had n't received the authorization. Finally on XXXX XXXX a representative named XXXX from NCC answered the call and spoke with my representative XXXX about the debt. My representative asked for debt validation and an itemization of the debt. He was given an e-mail to ask for this validation and itemization. My representative did so and has awaited for this itemization. He was told 3-5 business days as a time frame to receive this itemization and he never received it. 

On the XXXX of XXXX my representative then called NCC again as he had not received the itemization and re-requested it. again he was given the same e-mail as before which is XXXXXXXXXXXX. Again he was told to request the itemization by e-mail from a representative named XXXX. Again he did so. He was also told by the representative XXXX that no prior e-mails were received by his company even though the e-mail provided was confirmed as the correct one. XXXX also reiterated that it would be 3-5 business days to receive this e-mail. 

On XXXX XXXX my representative called once more as he had not received anything again. He got into an argument with the collector as again he was being told that no request for itemization was ever received or "" uploaded into the system. '' Because they had failed to provide the itemization within their own allotted time frame, and because they were n't even acknowledging that they had indeed received a request for validation, I am now submitting this complaint to you so you can look into their failure to adhere to the F.D.C.P.A. they are jeopardizing my credit and they ca n't even prove that this debt is mine! 

I will provide you with all the e-mails and phone calls my representative forwarded me so you can see that NCC Business Services is not doing their job properly and breaking the law by reporting an account they ca n't validate."
Mortgage,"Ditech processed payments incorrectly and did not rectify in a timely manner which resulted in my having to pay a lock extension fee when I went to refinance. All of this is explained in the attached letters. I have been extremely patient with Ditech. They have sent me several letters saying they are looking into the issue, but it has been over 4 months now. The loan has since been closed because I refinanced, but the issue and outtstanding resolution are straightforward."
Credit card,I was notified by Citibank that my universal card payment was past due. I never received the statement. I personally visited the nearest Citibank office in XXXX XXXX to request a copy of the statement so that I could review it and make immediate payment. An official at this branch advised me that they did not have access to this information and that I would have to call Citi directly. I called several contact numbers but the only response was that this was an attempt to collect a debt and how would I pay it? I have been unable to contact anyone at either Citi or AT & T Universal Card to request a copy of the statement so that I can review it and make payment immediately.
Credit reporting,My social security number was stolen along with my tax records.
Student loan,"I paid the loan in full on XX/XX/XXXX using the pay loan in full option. The XXXX account number is XXXX. 

I received mail saying an additional XXXX was owed. 

I called and was told I had not paid correctly. They also told me that the amount to repay had grown to XXXX and that if I logged in I would see the pay off amount as of today and a "" pay loan in full button ''. I logged in and saw neither. Instead it showed an account balance of XXXX as of today. If I went to a secondary screen it showed the XXXX. I have the following comments : 1 ) This is a scheme to make more interest and collect late payments. 
2 ) If I had paid the XXXX specified in the letter and on the screen, I would owe XXXX cents next month and if I did n't know that I should pay XXXX cents or I forgot I would be charged a late fee. 
3 ) This is n't as bad as what XXXX XXXX did but I bet they have made XXXX stringing people out on interest and late fees. 
4 ) I have screen shots of what was displayed. 

XXXX XXXX XXXX XXXXXXXXXXXX"
Credit card,"I contacted Kohl 's credit card on XXXX/XXXX/2017, managed by Capital One to set up a payment arrangement to prevent my account from closing and going into collections. I set up a verbal payment arrangement to pay the minimum due on XXXX/XXXX/2017. The agent who took my call stated that on that day when I made the payment to call to get the late fees refunded. She also stated she would notate my account of the payment arrangement. I made the minimum payment of {$200.00} on XXXX/XXXX/2017 and I called on XXXX/XXXX/2017 to get the late fees refunded, only to be alerted that my account closed a fee days earlier. I spoke with a Supervisor who was going to pull the call to find out what happened and after not hearing anything for a few days, I messaged Kohl 's via XXXX. I was contacted by XXXX with the "" President 's Office '' who stated she was going to pull the call. I called XXXX last week after not hearing anything and I finally heard from her on XXXX/XXXX/2017 and she stated that the agent notating the account of the payment date we discussed was not a payment arrangement and that they were under no obligation to open the account. Also they stated the agent was under no obligation to tell me that my account would be closing before the payment arrangement date. This is unacceptable when I honored the verbal payment arrangement with Kohl 's and even paid a day early."
Consumer Loan,"This is my third follow-up to obtain resolution for US Bank error. Please reference Case Number XXXX and Case Number XXXX. I have included the original complaints and letters from US Bank promising resolution. 
The issue that remains unresolved is US Bank has failed to adequately resolve adverse credit reporting related to their error and misplacement of a check. The misplaced check that was to pay-off a loan and the failure to correct my credit record has had a financial consequence to me the consumer. US Bank fully acknowledges that a check in the amount {$3600.00} was submitted to their bank to pay-off my auto loan and their staff misplaced the check. They fully acknowledge that they have been uncooperative in resolving this matter. They fully acknowledge that they are the sole cause of this issue. They have agreed in an XXXX XXXX, XXXX letter and XXXX XXXX, XXXX letter to correct the erroneous information with the credit bureau. 
On XXXX XXXX, XXXX, I obtained a copy of my credit report. The credit report shows that US Bank reported late payment of my auto loan. This negatively affected my credit score and adversely costing my more money in the form of higher interest rates and premiums. 
After review of my credit report on XXXX XXXX, I met with and provided XXXX ( the XXXX XXXX XXXX Branch Manager ) with my current credit report and letters from XXXX XXXX. XXXX contacted XXXX XXXX and called promising resolution. As of today, XXXX XXXX, XXXX at XXXX XXXX, US Bank has failed to contact me on status of resolution. It is obvious that US Bank does not give a whiff about resolving issues they caused their customers. It is obvious by US Banks actions and lack of actions that they do not care if the mistakes they cause end up costing their customers money in the long term. Unfortunately, it is obvious that US Bank does not feel they are accountable to the law, customer or to the Consumer Financial Protection Bureau."
Debt collection,Providian National Bank threatening suit on a debt that was charged off in 2004 using XXXX & XXXX ( case XXXX ) on account XXXX. Debt collector calls on an almost daily basis threatening suit and indicates this will be the last call then calls the following day with same threats. Used location service Overnight Locators XXXX XXXX XXXX as well. Calls family members and neighbors. Debtor is XXXX years and lives on social security. Please stop ALL communications immediately including telephone and letters.
Consumer Loan,"The Employer of XXXX XXXX pays all Creditor monthly payments as part of the employee agreement for salary ; disclosed to Porsche Financial as the income received to comply with the financial commitment for payment. In XXXX the office clerks paid two monthly payments from the wrong checking account and both payments were paid to the Creditor when the Bank advised that each payment was not funded to be paid. 
After the XXXX incidents the office clerks could no longer make a payment on the website, or by phone to the Creditor. The office clerks offered to send 5 monthly payments total of {$10000.00} ( pay in advance to XXXX XXXX ) by a Money Order or Cashiers Check by Overnight Mail and the Creditor refused to accept any payment on XXXX XXXX. Since every month that the office has tried to make payments all attempts have been refused and the Creditor wants the car back. I have the money to pay and I do n't want to damage my Credit by not honoring a financial commitment, I have not lost my job nor have I had a family tragedy preventing me from paying. Now the creditor does not want me to pay the amount due til the Lease Contract that ends XXXX XXXX, they want me to pay the total value of the car {$130000.00} plus about {$6000.00} for Attorney 's fees when I wanted and offered to pay they did n't need an Attorney who has claimed that I wanted to sell the car to an innocent person, the car was abused. I had to take the car to the Dealership and it was inspected and recognized that it was kept in a garage, clean, under the annual mileage of XXXX miles. The car has XXXX miles to date. 
The car is an investment for me I planned to purchase the car at the end of the Lease it is a Limited Edition of Porsche, it is a Targa XXXX. This is a rare model, I drive occasionally only. Please help me I want to pay all monthly payments that I owe to have my account current and they will not accept my monthly payments. monthly payments to pay to bring account to current status is from XXXX XXXX to XXXX XXXX is {$18000.00}. 
Please help me with the car and my credit. 
Thank you- XXXX"
Mortgage,"We have a XXXX mortgage on our home and it is a balloon loan that is due in 2017. We are attempting to pay an extra {$500.00} in addition to our monthly payments of {$120.00}. but our mortgage company Ocwen keeps applying a monthly fee to the {$500.00}. extra payment. I wrote "" For Principal Only '' on the check and checked the box on the statement for principle only. Our statement shows that we are only paying {$370.00} on the principle and we are several months ahead in our monthly payments. They are trying to make it very hard to pay off the principle, Can you help us? 
Thank you, XXXX XXXX"
Credit reporting,"Hello, this is a supplement to my complaint earlier today. Complaint # XXXX. 

Please add this to that complaint. I received this email from Director of Division of Child Support XXXX Wa whom is my case worker XXXX, XXXX ( DSHS/DCS ) XXXX ( 19 minutes ago ) to me Dear XXXX, As I have told you several times, I like to resolve all issues at the same time. In your situation, I told you that when I have received the IRS refund money which you say is coming, a Conference Board can be held on your request to have that money sent back to you. In the meantime, I will respond to the five questions/statements which you set out below. 



1. The person to whom you owe child support has ask the Division of Child Support to collect the child support which you owe. I am aware that you have a copy of the document where he ask for this assistance. 



2. I have not ignored the letter from XXXX XXXX. I have read the copy which you sent me, and I am thinking about various responses and questions before I contact her. 



3. I do n't know that you have a "" fraud '' debt. I do n't know what that refers to. You owe back child support of {$930.00}. XXXX XXXX sent you an email ( or a letter ) which properly explains how that debt was calculated. 



4. DCS will not stop certifying your debt to the IRS. We are required to certify debt. 



5. The Division of Child Support has not received your tax refund from the IRS. 



6. DCS has the legal right to collect debts for child support when requested by the parent to whom the debt is owed. We are obligated to report legally collectable debts to the Credit Reporting agencies. You and I had this discussion before. 



XXXX XXXX XXXX Attorney at Law / XXXX XXXX XXXX Conference Board Manager -- - As you can see he says I have a copy of the document where the custodial parent requested services. 

No I do not have this document. I gave you the most current order. And nowhere did the custodial parent ask for services. XXXX XXXX is lying. Division of Child Support XXXX, Wa is fraud, they are bullies, and they abuse, harass and in my case a person with XXXX and the other party is a XXXX!! The child is XXXX in XXXX weeks and it is clear it is nothing about the child. 
Division of Child Support is operating illegally, there is no current order with custodial parents signature or request for services. A new order supersedes old order. Division of Child Support knows this and even said in case narrative, "" custodial parent did not sign for services. '' They are forcing themselves into my life to be able to receive incentives and federal funding and this is abuse. I really need help or I am subject to credit reporting and this abuse which is illegal because I am on XXXX for the rest of my life. 
Please help. If XXXX XXXX ca n't produce an order that I was a party to the hearing with custodial parent signature requesting services then please ask credit bureau to remove this debt, stop reporting to my credit ( an illegal act as I am on XXXX ). 
I know please ask your attorney 's about that court order. Show them the statute I sent you, mention due process. This is illegal what they are doing to me. I ca n't handle much more of this abuse. 
Thank you XXXX XXXX"
Mortgage,"Virtually since this loan 's inception about six months ago, our lender, LoanCare, has refused to recognize our initial mortgage payment and apply it against our principal. I believe their claim is they never received our check. We have provided proof by means of the ACH tracing number personally and via email from our bank that the payment was processed through XXXX XXXX. Despite my efforts and numerous emails to LoanCare, their employees and a supervisor, they will not adjust our account and statement to show the initial payment. Months later they still allege we have not made the payment. The supervisor I have emailed has not provided, as I requested more than once, her superior 's name ( s ), so I can take this to the next level. I have also requested via the company 's portal that someone contact me. Absolutely no response. That was over a month ago. Please help."
Credit reporting,"I am trying to refinance my home mortgage. When my broker tried to pull the loan, there was an account from a company called Department of education ( # XXXX ) and ( # XXXX ) showing 90 days plus late on Transunion and XXXX. This account should not be late because I have made all my payments since my loan was consolidated. I called the department of education and their database has my account as current and they are not reporting me as late to the credit bureau. This should not be listed on my credit as late because I am current. I have tried to challenge this account on several occasions but was told by the department of education department representative my account is current and they are not reporting me to the credit bureau and there is nothing to update. I do not understand how an account that is current is being reported to the credit bureau"
Mortgage,"A summary in response to Wells Fargo 's latest response written to me on XXXX XXXX, XXXX, received by me on XXXX XXXX, XXXX and signed by XXXX XXXX. In this letter, Wells Fargo stated that they can not put in writing the requirements to qualify for any loan assistance. That is, namely the Hardship Loan mentioned, stating that this information is confidential, privileged, and or proprietary information of Wells Fargo. All I requested was a list of required qualifications which must be met in order to qualify for the Hardship loan. I do not believe that this information is confidential. It clearly is stated here under XXXX XXXX XXXX ( a ) ( XXXX ) XXXX, Disclosure requirements for lenders ( a ) Repayment information. 

Letter of Denial : Instead of giving me an affordable mortgage rate, I was given a higher interest rate to begin my repayment of the equity line loan. 
I was told by XXXX XXXX, who was working on my refinance loan request that I should apply for a Wells Fargo Hardship Loan. XXXX XXXX, stated I should qualify due to the qualifications being "" proof of not enough income ''. At which point I applied for a hardship loan with Wells Fargo. The person who I worked with was XXXX XXXX, a Wells Fargo Hardship loan specialist. She stated to me by phone, which by the way was recorded, that the qualifications are proof of not enough income to make your house payment. Also, XXXX XXXX stated when I asked the question, what will Wells Fargo do for me at the point that my income is verified? XXXX XXXX stated to me that ever situation is unique and in some cases Wells Fargo will lower the interest rate and in other cases Wells Fargo will offer loan forgiveness in an effort to lower the monthly house payments. On XXXX XXXX, XXXX, XXXX XXXX phoned me to advise me I was denied. She said it was due to not enough income. "" But wait, is n't that the main reason for qualifying for this type of loan, I asked? '' At which point XXXX XXXX started talking about short sale and ended the phone conversation. I then waited for my letter of denial, so I would have everything in writing. No letter of denial every came, at which point I started calling Wells Fargo and requesting my letter of denial. This request has been on-going since XXXX XXXX. Finally after realizing that Wells Fargo was not going to come forward with my letter of denial, I contacted the Consumer Finance Protection Bureau and the XXXX, on XXXX XXXX, XXXX. This was in regards to the omission of the letter of denial by Wells Fargo. Wells Fargo at this point pretended not to understand my request and never gave me this denial letter. I was completely ignored for seven months. Wells Fargo continually sent me form letters that had nothing to do with my request for the letter of denial and they called constantly leaving messages that had nothing to do with the letter of denial. From XXXX XXXX, XXXX to the end of XXXX XXXX, I have received a total of XXXX letters having nothing to do with a letter of denial or anything I had requested. Finally, I received a letter dated XXXX XXXX, XXXX on XXXX XXXX, XXXX. This letter outlined the process of my request and how they went about locating it, and gave a very vague reason for the denial, it was not written very professionally like the letter of denial I received when applying for my refinance in XXXX XXXX. There was one small paragraph where it was stated that my income was not enough to qualify. So, I needed a list of qualification for this type of loan besides income? I wrote a letter to WF requesting that they disclose to me their list of what it takes to qualify for this type of loan. They refused to disclose this info to me. Wells Fargo under Law, Adverse Action Notice- 12 CFR 1002.9 ( a ) ( 2 ) It states that the lender must disclose within 30 days in writing a timely denial letter givi"
Mortgage,"I am in the market to refinance my currant mortgage held by XXXX XXXX XXXX XXXX in Nevada. I went on line and found a company called LoanDepot. I spoke to XXXX XXXX on XXXX/XXXX/2016 who took {$10.00} and we talked about possible loans available for my situation. That situation is simply we have a 5.6 % mortgage loan and now that home values are coming back up I wanted to refinance for a lesser rate, no cash out nothing, just refinance. As a XXXX Veteran he said I could qualify for a VA loan. I explained I had done that twice and he said you can do it again. If the loan was assumed and not paid it would be on m Credit Bureau. Okay. So he gave me a rate of 3.625 % and told me he 's been doing this for 9 years, he 's a great person etc. He said he would send documents email later that day and call me in the evening and go over everything because logging in can be a little tricky. then they would get a VA appraisal for {$200.00}. No call, nothing. LoanDepot never called back. On top of that XXXX showed that LoanDeport through XXXX inquired XXXX/XXXX/2016 on my credit report twice and really kicked my credit score. Then I get a call from their customer service (? ) wanting to know how things were going. When I told them what happen they were like, oh, asked who my loan officer was and hung up. You need to look into this company. Something is very wrong with what they are doing."
Mortgage,"Carrington Mortgage has lost my XX/XX/XXXX & XX/XX/XXXX payments. it has been 47 days and they still can not find the monies. They have sent me a Right to Foreclose letter, even though they received both payments on time. I have sent in verification of payments, my bank has sent in verification of payment, i have faxed in checking statements, spoken to multiple people and still no resolution. The loan was refinanced by them XX/XX/XXXX - I have provided both the old and new loan numbers and they still can not find my payments. I can not get any Supervisors to return my phone calls and the Escalated Payment Resolution representative will not return any of my emails. I will mention XX/XX/XXXX when I refinanced my loan for a lower rate, I did not realize they provided me a new loan number. That being said, the XX/XX/XXXX, XX/XX/XXXX and XX/XX/XXXX payments were all processed correctly. They can not tell me why beginning with the XX/XX/XXXX payment the issue began. The level of customer service and communication is deplorable. I work at a bank myself in the loan department and not once have I seen it take this long to find a missing payment - nonetheless XXXX missing payments."
Mortgage,"Vectra Bank did not get the loan closing document completed in time for the scheduled closing and we were notified 3 days before closing. Have scheduled time off from work, moving truck arriving, purchased furniture arriving, housing lease ending - no place to live. Applied for the loan over a year ago while house being build. We provided all the paper work and documents on time. There appears to be no penalty if the mortgage company fails to complete their work for an agreed upon closing time, resulting in economic losses for the consumer."
Mortgage,On XX/XX/2016 I accepted a trial modification payment plan ; the conditions were set in which I make all trial payments on time ; US Bank sent me a permanent modification agreement which I signed with a notary and returned to US Bank on time ; and that despite all that I found my home listed for online auction set for XX/XX/2016 by US bank on the website XXXX at this address XXXX
Bank account or service,"My account was charged with several fraud charges out of state, I realized this when i tried to use my debit card. I filed a claim with the bank, I was given wrong information about how my automatic payments would be paid, I was told I would receive a form by mail, 3 times I was told that my claim was misfiled, so I went into the branch and explained to the manager and 2 days later she called me in to sign a document. This started on the XXXX and my money is just now being released."
Credit reporting,"Tried to open an account at creditkarma.com, and it stated that the information that I had entered did not match their records. I have never visited or entered my information on that site before, or any website of that kind."
Debt collection,"In XXXX the account was opened and the original creditor was XXXX bank. In XXXX XXXX the account was sent into collections. The collections agency is Portfolio Recovery Associates LLC. I was in school at the time and unable to keep up with the payments. However, I am trying to clean up my credit score and when I called them to make a payment arrangement they told me they have now hired the law office of XXXX XXXX XXXX to sure me. They went into my bank account twice and took over {$1000.00} each time however the money was exempt because of wages so the court granted the money back twice. I have called them about XXXX times in the last year to try and make a payment arrangement and they always tell me they ca n't that its out of their hands and to call the law office of XXXX XXXX XXXX but when I call them they say the same thing or ask me to pay in full. Also I want to make sure the information is accurate in regards to the statute of limitations. I was young at the time but I am older now trying to fit these issues and this one seems to be the most difficult. On my credit report it shows that Portfolio Recovery Associates is the collections agency so I do n't understand why they can ; t just make a payment arrangement with me or settle. There is nothing on my credit reports about "" the law offices of XXXX XXXX XXXX '' and I find nothing but bad reviews on both of them. I just want a clean slate and to end this nightmare. They continue to threaten me overtime I call telling me that if I do n't pay in full they 'll be coming after me for everything in the years to come."
Credit reporting,"To whom it may concern : My name is XXXX XXXX and my social security number is XXXX. 
My wallet were missing for sometimes. I had to go through a lot to get me and my XXXX granddaughters back our identity. It 's been awhile now but I had already gotten everything back then XXXX months later I received my wallet while we were in the XXXX. We have been in the XXXX system from XX/XX/XXXX to XX/XX/XXXX 
While I were in XXXX I had payed a lot of my bills off of my credit. Whe we came to XXXX XX/XX/XXXX my credit were okay. Now I 'm just getting an copy of my credit report and I see that I have other charges on my account like XXXX XXXX XXXX this account is played in full if this is from my landlord. I have stated to them to clean this account If you could please get him to send/ fax you something in writing that this account is played in full and remove it off of my credit report. 
2. XXXX XXXX XXXX XXXX - I have never ever applied for an XXXX credit card. I know this one is a lie. The account were opened in XX/XX/XXXX. 
I were working and living in XXXX. So I know that it were not me. This charge is really wrong. 
3.XXXX.opened on XX/XX/XXXX. For {$100.00} dollars. This were not me cause I were still living in the shelter and working XXXX days a week.please help me clear the matters on my credit report."
Debt collection,"It was a late fee from a school. I paid the debt to the school directly in XXXX 2016. It is XXXX 2016, and they continue to attempt to collect a debt I do not owe. Furthermore their collection tactics were illegal. They would call me repeatedly throughout the day, 5-6 days a week on my business phone line even after they were informed that it was a business line."
Credit reporting,"I just got a credit report from all XXXX credit reportsXXXX, experian and XXXX and my credit score went from XXXX to XXXX, all XXXX companies are telling me is because i was late on XXXX mortgage payment past 30 days with XXXX, which is inaccurate, i have never missed a payment, with my current mortgage or past ones, they also telling me i have XXXX credit cards, i do not believe i have applied for that many credit cards, that is not accurate i only have XXXX personal loan XXXX credit cards and XXXX mortgage, i dont know where they getting XXXX cards from. All XXXX credit bureaus are telling i have made a lot of hard inquiries, which i have not. Can you please investigate this matter, i have work with the XXXX for 13 years and i 'm also a veteran and i work very hard to get my credit up that high to XXXX."
